current_queue_length,average_consultation_minutes,time_of_day,day_of_week,emergency_patients_ahead,actual_wait_minutes
7,13.7,08:37,Monday,0,118.9
2,12.3,15:31,Saturday,0,27.9
2,16.0,16:56,Sunday,0,28.8
5,8.5,15:05,Friday,0,48.6
7,6.6,10:25,Monday,1,88.5
0,13.1,10:42,Wednesday,0,0.0
3,14.5,17:36,Thursday,0,40.9
5,12.9,15:00,Sunday,0,43.5
4,14.0,16:16,Thursday,2,96.8
8,13.6,12:27,Monday,0,166.9
4,7.6,15:45,Friday,1,39.7
1,12.8,17:48,Friday,0,16.3
6,16.0,11:34,Tuesday,1,144.8
5,12.5,11:12,Wednesday,0,59.0
3,8.1,08:25,Monday,0,32.3
4,11.0,15:22,Monday,0,58.1
4,13.7,10:24,Wednesday,1,68.6
3,17.4,10:32,Monday,0,78.2
4,6.1,14:19,Tuesday,0,35.0
8,13.1,15:23,Friday,1,125.9
3,9.2,12:04,Wednesday,0,35.4
4,13.5,17:26,Tuesday,0,63.2
4,13.8,09:37,Friday,0,64.9
4,11.3,13:16,Saturday,0,44.5
3,13.9,14:10,Friday,0,53.0
3,15.4,14:10,Wednesday,0,63.5
6,11.5,14:34,Saturday,0,75.7
2,8.0,14:20,Wednesday,0,13.8
8,16.3,15:55,Monday,0,131.2
4,14.5,16:08,Friday,1,66.9
3,13.7,17:46,Saturday,0,29.0
4,9.9,17:23,Tuesday,0,40.8
6,15.0,13:11,Wednesday,0,106.0
3,18.1,15:03,Monday,0,74.4
7,11.6,12:01,Thursday,0,100.4
1,12.3,14:30,Thursday,0,14.8
2,8.8,08:04,Tuesday,0,23.1
2,9.8,11:40,Thursday,0,19.1
6,8.8,17:08,Friday,0,63.2
4,12.4,14:45,Thursday,0,62.5
3,11.0,08:10,Saturday,1,31.6
8,13.1,13:13,Thursday,0,139.5
7,9.3,11:39,Wednesday,0,83.7
3,11.5,16:05,Friday,1,55.1
3,9.1,09:08,Tuesday,1,29.3
4,12.6,14:02,Saturday,0,60.0
3,7.1,15:07,Friday,0,27.5
5,12.5,13:57,Wednesday,0,80.8
6,11.2,10:44,Tuesday,0,49.5
1,12.5,15:55,Saturday,1,22.6
7,7.0,15:56,Monday,0,54.9
6,14.0,11:36,Monday,0,134.2
7,11.1,10:40,Friday,0,83.8
3,12.7,14:38,Thursday,1,72.7
4,6.4,11:40,Tuesday,0,36.6
5,8.3,11:27,Wednesday,0,51.8
3,10.8,12:30,Saturday,1,53.3
4,16.1,12:34,Thursday,0,71.3
4,13.6,16:17,Thursday,1,69.4
2,12.4,17:31,Monday,0,34.2
8,9.2,15:08,Saturday,1,72.6
5,8.7,08:52,Monday,0,46.1
6,12.8,11:22,Tuesday,0,94.6
6,14.1,09:53,Wednesday,0,85.8
2,12.6,14:37,Thursday,0,37.8
1,17.1,13:58,Tuesday,0,24.6
2,10.0,17:49,Saturday,0,16.4
3,12.5,12:28,Wednesday,1,55.0
5,6.9,09:03,Monday,0,45.7
6,12.6,13:59,Thursday,0,107.3
3,16.4,11:40,Monday,1,95.4
1,8.9,09:46,Tuesday,2,28.1
4,14.5,11:42,Friday,1,78.0
6,16.3,10:22,Friday,1,134.0
4,9.9,09:58,Friday,0,49.9
3,13.4,12:50,Wednesday,0,47.4
2,16.7,16:06,Saturday,1,56.5
5,12.7,16:51,Monday,2,120.4
4,14.4,10:36,Wednesday,0,69.9
1,6.7,12:29,Tuesday,0,10.3
5,13.8,16:25,Monday,0,75.2
3,13.6,17:53,Thursday,0,40.3
3,8.0,16:29,Monday,0,27.4
2,9.1,12:56,Friday,0,25.1
3,13.8,16:42,Saturday,0,33.0
2,11.1,15:03,Saturday,0,22.8
5,15.3,09:08,Friday,0,87.4
1,12.9,08:50,Tuesday,0,16.7
7,12.2,17:21,Friday,1,93.6
5,11.5,17:14,Thursday,0,66.6
7,12.9,12:35,Thursday,0,98.0
2,14.4,14:37,Thursday,0,30.9
7,13.6,11:02,Monday,1,148.1
4,10.7,15:00,Saturday,0,51.5
4,15.7,12:27,Saturday,1,73.3
1,14.0,11:29,Saturday,0,9.2
5,13.2,12:24,Thursday,0,72.6
4,12.3,12:33,Monday,0,67.6
4,13.5,17:25,Friday,0,76.6
2,6.5,16:50,Sunday,1,18.5
2,12.7,09:56,Monday,0,30.7
2,16.9,10:47,Wednesday,0,39.6
5,12.7,10:59,Sunday,1,90.8
7,12.3,08:06,Sunday,1,80.1
4,10.2,13:18,Thursday,2,74.4
6,13.5,12:49,Tuesday,3,151.8
4,11.4,09:14,Wednesday,0,55.6
2,15.9,17:54,Thursday,0,31.4
4,9.4,15:36,Wednesday,0,49.0
2,10.6,09:49,Thursday,0,27.7
2,10.2,15:03,Monday,0,30.0
2,17.5,11:24,Monday,1,71.7
5,11.4,14:19,Monday,0,68.6
4,10.4,12:42,Saturday,0,42.6
4,5.7,09:23,Sunday,0,18.3
2,9.3,12:36,Monday,0,24.3
3,13.6,17:37,Sunday,0,33.6
5,13.6,15:28,Tuesday,0,88.8
3,10.0,14:15,Monday,1,53.0
3,10.2,16:26,Wednesday,0,28.3
9,17.6,16:17,Wednesday,0,157.2
7,20.1,16:52,Sunday,0,160.3
1,15.4,09:05,Monday,0,21.3
4,16.7,09:17,Sunday,1,62.5
3,17.3,15:59,Sunday,0,57.9
4,18.6,17:57,Thursday,0,76.7
1,11.1,13:37,Friday,0,21.3
5,9.4,17:38,Thursday,0,52.2
5,17.5,14:37,Sunday,0,92.5
5,9.1,08:51,Tuesday,1,69.8
4,8.9,17:15,Sunday,0,39.1
4,9.0,16:23,Wednesday,0,38.3
3,11.6,13:21,Sunday,0,42.1
5,6.0,15:26,Sunday,0,25.7
3,7.7,11:30,Saturday,0,22.7
4,10.1,14:09,Saturday,1,53.1
8,8.4,12:07,Thursday,0,92.7
7,15.2,13:16,Friday,0,134.2
3,12.0,14:21,Tuesday,0,55.3
4,13.7,08:32,Tuesday,1,91.7
3,13.4,08:57,Saturday,1,50.5
5,11.4,08:49,Saturday,0,44.7
3,15.0,13:56,Tuesday,0,65.1
3,13.4,12:07,Sunday,0,27.1
7,11.0,13:00,Friday,0,110.1
3,6.9,13:00,Sunday,0,18.3
3,13.6,08:24,Thursday,0,51.5
3,8.2,15:57,Friday,1,33.0
11,13.1,15:00,Friday,0,167.8
0,12.2,14:52,Tuesday,1,16.8
6,7.9,08:20,Tuesday,0,57.9
7,12.8,14:31,Sunday,0,78.9
5,12.6,13:00,Friday,1,95.3
2,12.6,15:36,Thursday,1,49.6
5,12.4,08:58,Monday,1,105.8
5,10.0,15:28,Monday,0,65.4
3,13.8,17:37,Thursday,0,40.7
5,9.9,16:30,Monday,0,54.1
2,8.8,16:56,Monday,0,23.1
3,14.0,08:45,Friday,0,53.4
3,14.8,13:17,Sunday,1,60.5
3,13.8,10:27,Saturday,1,47.5
7,11.4,13:26,Thursday,0,120.7
4,6.2,15:03,Sunday,0,15.9
2,16.4,15:28,Friday,1,67.5
6,6.1,17:54,Sunday,0,32.6
3,13.8,17:34,Tuesday,0,49.6
3,18.3,10:28,Friday,0,61.4
3,12.4,17:09,Sunday,0,31.9
4,12.9,16:50,Sunday,0,48.0
4,13.1,15:14,Sunday,1,61.7
9,12.6,10:34,Tuesday,0,110.0
2,19.1,09:52,Friday,0,55.6
6,9.5,12:21,Monday,1,101.3
8,9.1,08:23,Wednesday,0,78.7
4,11.0,10:50,Monday,1,76.4
7,17.2,08:44,Saturday,0,142.2
4,10.3,13:14,Saturday,0,39.0
4,13.3,14:09,Monday,1,84.5
2,15.2,09:06,Sunday,0,30.8
3,14.3,16:44,Saturday,0,43.7
5,15.1,08:58,Saturday,0,59.1
3,16.3,11:57,Thursday,0,68.2
8,12.9,13:00,Sunday,0,108.0
6,10.6,13:49,Sunday,0,54.7
3,12.4,11:11,Thursday,0,47.9
1,11.0,15:07,Wednesday,1,27.4
2,19.6,11:24,Saturday,0,40.0
6,10.4,10:31,Monday,0,88.1
5,13.4,12:31,Wednesday,0,90.2
3,7.5,09:08,Monday,2,52.9
4,12.4,17:39,Saturday,0,46.1
5,11.1,13:30,Monday,0,77.6
6,14.0,09:26,Saturday,1,97.3
4,14.1,15:57,Thursday,0,75.2
2,16.3,15:12,Thursday,0,41.8
6,16.0,12:18,Friday,0,120.7
7,11.8,17:50,Monday,0,102.2
7,9.2,13:00,Saturday,0,84.2
2,9.5,10:07,Tuesday,0,25.4
3,12.9,15:54,Saturday,0,38.9
3,12.5,17:17,Sunday,0,39.0
5,12.8,10:37,Thursday,0,70.3
7,10.4,08:04,Friday,0,84.9
8,16.3,14:05,Sunday,0,165.5
8,7.6,15:19,Wednesday,0,77.8
5,10.2,10:36,Wednesday,0,72.9
3,8.8,17:38,Sunday,2,37.2
3,11.4,09:40,Wednesday,0,36.3
2,15.7,16:00,Wednesday,1,62.6
3,11.1,16:45,Monday,0,33.6
1,12.3,09:42,Wednesday,0,14.5
1,14.0,13:00,Tuesday,0,21.5
4,11.0,08:16,Saturday,1,54.8
3,13.1,14:25,Thursday,1,47.8
3,12.8,13:27,Wednesday,0,40.0
6,8.6,15:46,Sunday,0,47.1
3,10.6,13:00,Thursday,1,56.1
2,13.1,11:32,Wednesday,0,33.9
6,15.8,09:22,Saturday,3,135.7
3,15.8,08:30,Tuesday,1,78.9
3,18.3,13:17,Thursday,0,72.1
4,13.5,17:11,Friday,0,60.8
2,10.8,15:39,Wednesday,0,26.9
7,11.8,11:55,Thursday,1,107.5
4,11.7,17:50,Monday,0,61.7
4,10.8,09:50,Saturday,1,45.5
4,13.1,17:58,Sunday,0,48.6
4,13.3,10:18,Friday,0,68.8
6,8.5,09:40,Thursday,0,55.5
3,15.3,16:34,Sunday,0,45.5
2,6.5,12:41,Saturday,1,25.3
5,11.3,16:55,Thursday,0,54.0
6,15.4,15:28,Friday,0,127.9
2,13.8,09:34,Sunday,1,44.2
1,10.9,09:13,Tuesday,1,24.9
3,17.9,12:28,Saturday,0,63.4
1,10.7,13:36,Wednesday,0,12.5
3,6.0,12:13,Monday,0,29.5
0,13.4,10:07,Wednesday,0,0.0
4,6.7,10:10,Thursday,0,36.7
2,9.5,13:05,Saturday,0,16.9
3,13.9,08:08,Tuesday,0,47.2
2,10.6,12:23,Thursday,0,23.8
7,13.7,08:19,Friday,0,130.1
3,8.5,16:43,Friday,0,29.1
1,14.6,14:12,Saturday,2,42.2
6,6.9,09:36,Saturday,0,47.0
2,16.0,15:41,Thursday,2,81.5
3,10.6,12:55,Tuesday,0,40.0
6,16.6,13:06,Sunday,0,84.7
5,9.5,10:33,Sunday,0,36.7
1,17.8,11:56,Monday,0,29.1
3,9.1,16:46,Thursday,0,32.2
4,6.6,09:28,Saturday,0,26.0
5,12.1,14:14,Friday,0,82.8
2,15.7,10:10,Sunday,0,20.0
4,14.4,12:26,Tuesday,0,72.4
5,15.5,13:19,Sunday,0,73.9
4,14.4,09:13,Tuesday,0,76.0
2,9.5,08:47,Monday,1,29.7
2,14.3,12:50,Saturday,0,34.9
1,12.3,12:05,Sunday,0,17.6
3,9.9,17:12,Wednesday,0,24.7
2,12.5,14:58,Tuesday,2,63.4
6,11.8,16:58,Sunday,0,68.0
9,16.2,17:16,Monday,0,202.5
4,10.5,08:11,Friday,0,33.4
5,10.3,16:47,Monday,0,68.6
1,9.9,17:35,Friday,0,10.6
4,17.7,12:31,Monday,0,98.5
4,10.1,14:21,Wednesday,0,61.9
3,15.9,11:27,Thursday,1,75.4
4,8.9,08:59,Sunday,1,42.3
6,13.5,10:37,Friday,0,99.3
4,12.8,08:48,Sunday,1,58.3
3,15.7,12:52,Thursday,0,62.8
3,15.3,14:32,Tuesday,0,64.8
4,12.2,08:03,Wednesday,0,46.4
4,10.4,10:17,Thursday,0,49.4
6,16.9,08:44,Thursday,0,113.3
4,10.1,17:39,Sunday,1,30.9
4,5.2,16:01,Sunday,0,16.2
2,6.4,08:18,Monday,0,18.5
3,7.2,16:08,Saturday,0,19.4
5,13.8,16:16,Wednesday,1,126.5
2,18.6,16:03,Friday,1,75.6
3,5.9,16:47,Sunday,0,17.1
4,9.7,12:41,Sunday,0,47.3
7,12.3,10:23,Thursday,0,110.5
4,16.6,16:42,Monday,0,87.3
5,9.6,16:20,Sunday,1,40.2
5,13.8,10:44,Sunday,0,72.4
5,11.2,13:48,Wednesday,0,81.6
3,19.8,13:34,Monday,0,79.9
6,12.4,12:52,Thursday,0,72.8
2,13.1,14:05,Saturday,2,46.4
2,12.3,08:50,Thursday,0,33.3
6,10.8,12:32,Monday,0,93.3
5,14.8,10:47,Thursday,0,104.7
3,8.5,08:01,Thursday,0,27.3
4,6.0,13:11,Sunday,0,22.2
2,11.5,11:38,Saturday,0,31.5
3,14.4,12:18,Friday,2,90.3
5,10.3,09:06,Wednesday,2,76.9
5,12.6,13:03,Sunday,2,94.0
1,8.3,10:42,Tuesday,1,19.9
3,15.2,08:00,Wednesday,0,53.7
3,14.0,15:48,Saturday,0,44.1
2,12.1,14:16,Sunday,0,25.5
6,12.5,13:16,Saturday,0,72.7
3,7.8,14:13,Friday,0,24.4
5,8.0,11:14,Sunday,1,40.2
3,11.6,09:13,Monday,0,40.8
4,13.5,11:34,Friday,0,71.9
4,13.7,15:53,Wednesday,0,56.7
3,10.9,14:04,Friday,0,35.2
4,14.2,15:54,Tuesday,0,59.3
0,16.3,17:01,Thursday,1,19.1
4,11.7,10:29,Tuesday,0,62.8
8,12.9,17:08,Friday,0,111.2
7,11.4,14:37,Sunday,0,72.7
2,11.6,13:36,Monday,0,35.4
3,12.5,13:01,Sunday,0,38.5
3,17.1,12:41,Friday,0,76.4
9,14.7,08:44,Monday,1,181.6
5,14.5,08:32,Friday,1,87.9
3,10.6,11:18,Monday,0,49.7
8,9.3,10:02,Saturday,0,69.5
2,13.2,08:51,Tuesday,2,54.4
4,15.7,08:14,Monday,0,85.9
5,17.2,17:47,Saturday,0,96.8
5,5.0,10:07,Thursday,0,29.6
2,19.3,17:50,Friday,1,56.3
3,13.3,13:26,Saturday,0,51.3
5,14.7,09:55,Thursday,0,88.7
3,6.8,09:27,Saturday,0,20.1
7,11.3,10:00,Friday,1,103.8
4,14.5,11:38,Monday,1,114.2
6,8.5,10:02,Sunday,1,44.9
3,5.0,16:16,Sunday,0,10.0
3,13.0,11:40,Tuesday,0,61.3
4,11.9,13:16,Friday,0,56.0
7,16.3,13:00,Monday,2,232.3
4,11.5,14:35,Tuesday,0,68.4
4,11.7,17:58,Friday,0,53.9
4,14.1,12:26,Wednesday,0,62.8
5,15.1,11:13,Sunday,0,80.2
1,9.9,17:44,Monday,0,16.3
2,14.8,17:58,Friday,0,34.6
6,10.4,15:48,Friday,1,80.9
3,12.0,15:58,Sunday,0,35.0
7,14.0,12:04,Saturday,1,94.7
3,14.5,13:23,Sunday,0,37.2
1,13.0,11:31,Saturday,0,12.7
3,8.8,14:11,Tuesday,0,34.2
5,6.4,16:15,Wednesday,0,30.6
5,11.4,11:44,Friday,0,75.9
3,14.9,13:21,Sunday,0,48.2
3,13.3,15:44,Sunday,0,36.0
6,12.7,10:05,Friday,0,68.0
8,12.0,14:06,Monday,0,137.5
4,12.9,15:45,Wednesday,1,92.8
4,9.0,08:31,Friday,0,43.5
4,14.3,10:32,Saturday,0,57.6
11,14.5,08:15,Tuesday,0,171.0
6,10.9,08:03,Thursday,0,75.5
4,13.3,12:46,Saturday,0,58.2
4,6.9,15:00,Saturday,0,30.9
5,12.5,11:49,Tuesday,0,70.8
7,11.6,14:12,Tuesday,0,106.4
5,15.8,09:54,Wednesday,0,85.1
8,11.4,16:21,Friday,0,113.6
7,14.6,11:37,Friday,0,101.7
5,10.8,15:04,Saturday,0,51.9
3,5.1,09:17,Thursday,0,18.9
2,11.3,16:10,Sunday,0,23.1
5,12.6,13:10,Monday,0,90.2
5,12.5,17:42,Thursday,0,46.6
3,12.5,12:03,Tuesday,0,52.3
4,10.5,16:43,Thursday,0,56.7
2,11.0,12:07,Sunday,0,19.1
4,8.6,09:04,Sunday,0,28.3
1,6.0,14:52,Sunday,0,8.2
3,11.7,09:49,Thursday,1,59.2
8,9.8,15:59,Friday,0,107.3
3,15.2,11:20,Thursday,0,62.5
6,5.5,15:33,Monday,0,36.6
5,12.9,12:48,Tuesday,2,111.7
1,18.4,13:22,Saturday,0,21.4
5,11.5,15:20,Monday,0,77.2
4,12.0,14:39,Friday,0,63.8
9,13.3,14:38,Thursday,0,142.9
2,13.5,14:35,Wednesday,0,31.1
3,10.8,13:51,Saturday,0,32.9
3,9.0,16:04,Tuesday,0,27.9
1,14.0,11:00,Tuesday,0,15.4
5,6.3,09:48,Tuesday,0,37.3
4,14.5,15:21,Monday,1,98.2
4,10.8,13:23,Monday,1,82.3
6,12.0,17:00,Monday,0,88.3
2,10.4,17:39,Friday,0,28.8
3,16.3,16:40,Wednesday,0,63.7
1,12.7,13:28,Wednesday,2,44.8
5,11.0,15:32,Saturday,0,56.7
7,11.0,11:20,Thursday,0,107.1
2,11.6,08:08,Monday,1,39.2
4,19.2,15:48,Thursday,1,100.7
2,8.0,15:48,Friday,0,23.5
2,15.2,08:04,Friday,0,37.3
3,13.7,16:38,Sunday,1,57.9
1,16.6,16:48,Friday,0,20.3
4,13.9,11:12,Saturday,0,55.0
2,12.0,08:10,Thursday,0,20.8
5,15.1,16:45,Friday,0,89.6
6,12.7,08:42,Tuesday,1,118.1
4,14.3,10:19,Sunday,1,79.9
6,16.3,13:25,Monday,2,207.8
3,12.3,16:09,Sunday,1,50.7
2,10.7,15:49,Friday,0,33.3
2,10.1,14:48,Wednesday,0,19.6
6,13.4,16:17,Wednesday,0,93.9
5,9.4,14:51,Monday,0,58.4
1,11.0,14:22,Wednesday,2,47.9
4,9.1,09:40,Monday,1,55.6
5,13.5,12:23,Thursday,1,113.3
4,9.7,12:30,Monday,0,53.3
1,8.1,08:11,Monday,0,11.3
4,8.7,12:03,Friday,1,55.6
4,10.3,10:16,Tuesday,2,75.4
4,10.6,08:53,Wednesday,1,60.6
9,12.8,13:27,Friday,0,166.1
2,11.5,10:22,Thursday,0,26.6
2,13.1,09:54,Thursday,2,67.2
6,13.4,15:52,Thursday,0,105.3
3,14.2,16:06,Friday,0,48.7
4,6.3,14:36,Friday,3,68.5
3,8.6,09:53,Monday,0,37.0
8,13.7,14:19,Sunday,0,100.2
4,12.6,15:07,Saturday,1,69.9
3,14.9,10:19,Wednesday,1,79.1
4,7.4,09:19,Wednesday,1,44.5
5,10.6,12:20,Saturday,0,57.5
5,11.1,12:14,Friday,0,43.7
7,12.5,09:31,Saturday,0,71.2
5,12.1,09:55,Thursday,1,90.8
3,13.4,12:59,Thursday,0,44.3
4,11.7,13:16,Thursday,0,61.8
3,16.1,13:22,Wednesday,2,111.3
8,17.1,17:49,Saturday,0,121.8
2,8.6,08:23,Saturday,1,16.9
4,12.1,15:51,Monday,1,74.1
7,14.4,11:31,Monday,0,151.9
2,13.8,15:31,Monday,0,42.4
5,10.8,15:21,Wednesday,1,56.3
5,12.8,14:11,Monday,0,91.1
5,7.2,14:18,Thursday,0,36.5
3,11.9,14:38,Sunday,1,47.1
3,7.6,15:28,Friday,0,27.7
2,13.5,09:18,Sunday,1,50.6
5,8.7,11:36,Tuesday,0,52.1
5,12.5,16:25,Friday,0,84.0
3,13.0,13:28,Saturday,0,47.1
6,12.2,09:22,Thursday,0,80.0
3,10.1,17:36,Saturday,0,28.3
2,11.4,17:52,Monday,0,27.9
6,15.5,13:07,Friday,1,130.6
2,10.7,13:19,Saturday,0,20.1
6,12.1,10:55,Wednesday,0,82.2
2,10.3,13:09,Tuesday,0,23.6
0,15.1,17:41,Monday,0,0.0
4,12.2,10:32,Tuesday,0,59.1
1,9.7,11:02,Saturday,0,10.4
4,12.0,16:58,Saturday,0,48.3
1,11.3,11:50,Friday,0,14.0
4,16.2,17:43,Tuesday,0,65.4
8,11.9,11:29,Tuesday,0,127.7
1,7.9,08:02,Saturday,0,9.5
4,13.5,17:32,Friday,1,71.6
3,17.4,10:22,Saturday,0,44.1
4,15.6,14:56,Wednesday,0,70.8
4,8.7,08:28,Saturday,0,31.0
3,11.2,15:28,Thursday,1,60.4
2,11.9,10:12,Friday,0,31.5
3,11.9,16:00,Saturday,0,35.1
5,13.1,17:39,Wednesday,0,89.4
7,11.0,08:27,Saturday,1,80.0
1,9.3,11:40,Friday,1,28.1
3,14.9,15:09,Thursday,1,81.8
1,8.6,17:57,Saturday,0,11.3
3,9.6,11:37,Thursday,0,36.7
4,8.6,17:56,Saturday,1,39.7
8,13.8,16:59,Monday,0,140.5
2,12.3,15:11,Sunday,0,26.6
2,14.7,11:49,Sunday,1,38.1
3,9.6,13:22,Sunday,0,27.7
